"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"19.02.2023 15:12","Masimba Road, Nairobi","370.00","17.44","0.00","0.00","0.00","Ksh","Cash","19.02.2023 15:47","7.00","Finished"
"19.02.2023 14:47","Umoja, Nairobi","210.00","10.12","0.00","0.00","0.00","Ksh","Cash","19.02.2023 15:12","3.00","Finished"
"19.02.2023 14:21","Umoja One Market, Nairobi","190.00","9.16","0.00","0.00","0.00","Ksh","Cash","19.02.2023 14:39","3.00","Finished"
"19.02.2023 14:01","Savannah Road, Nairobi","260.00","12.23","0.00","0.00","0.00","Ksh","Cash","19.02.2023 14:17","4.00","Finished"
"19.02.2023 11:58","Terminal 2, Nairobi Jomo Kenyatta Airport (NBO)","600.00","28.47","0.00","0.00","0.00","Ksh","Cash","19.02.2023 12:26","11.00","Finished"
"19.02.2023 09:47","Kandara Road, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","19.02.2023 10:02","2.00","Finished"
"19.02.2023 09:13","Kariobangi South, Nairobi","610.00","28.83","0.00","0.00","0.00","Ksh","Cash","19.02.2023 09:47","13.00","Finished"
"19.02.2023 08:47","Kahawa South, Nairobi","430.00","20.41","0.00","0.00","0.00","Ksh","Cash","19.02.2023 09:10","9.00","Finished"
"19.02.2023 08:23","The Loft Lounge and Grill, Thome Road, Nairobi","220.00","10.63","0.00","0.00","0.00","Ksh","Cash","19.02.2023 08:41","4.00","Finished"
"19.02.2023 07:54","Doonholm Road, Nairobi","450.00","21.21","0.00","0.00","0.00","Ksh","Cash","19.02.2023 08:17","9.00","Finished"
"17.02.2023 19:40","Limuru Road off, Nairobi","430.00","20.48","0.00","0.00","0.00","Ksh",Bolt Payment,"17.02.2023 20:03","9.00","Finished"
"17.02.2023 17:41","Parklands Road 11, Nairobi","600.00","28.75","0.00","0.00","0.00","Ksh",Bolt Payment,"17.02.2023 18:41","12.00","Finished"
"17.02.2023 16:57","Timboroa Street, Nairobi","490.00","23.49","0.00","0.00","0.00","Ksh","Cash","17.02.2023 17:36","7.00","Finished"
"17.02.2023 16:21","St. Mary's Hospital, Nairobi","650.00","30.83","0.00","0.00","0.00","Ksh","Cash","17.02.2023 16:57","13.00","Finished"
"17.02.2023 16:02","Langata Road Langata Rd, Nairobi, Nairobi","320.00","12.93","50.00","0.00","0.00","Ksh","Cash","17.02.2023 16:17","5.00","Finished"
"17.02.2023 14:14","Nairobi, Kenia","240.00","11.56","0.00","0.00","0.00","Ksh","Cash","17.02.2023 14:27","4.00","Finished"
"17.02.2023 13:44","Kirichwa Road, Nairobi","540.00","25.62","0.00","0.00","0.00","Ksh","Cash","17.02.2023 14:06","11.00","Finished"
"17.02.2023 13:09","Kimathi Street Kimathi House, Nairobi","370.00","17.78","0.00","0.00","0.00","Ksh","Cash","17.02.2023 13:40","6.00","Finished"
"17.02.2023 12:34","Muhoho Avenue, Nairobi","300.00","14.45","0.00","0.00","0.00","Ksh","Cash","17.02.2023 13:12","4.00","Finished"
"17.02.2023 11:54","Gigiri Road, Nairobi","590.00","28.27","0.00","0.00","0.00","Ksh","Cash","17.02.2023 12:29","13.00","Finished"
"17.02.2023 10:23","Muthangari Drive 48674, Nairobi 00100","430.00","20.63","0.00","0.00","0.00","Ksh","Cash","17.02.2023 10:42","10.00","Finished"
