"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"28.01.2023 08:01","Crystal Park Apartments, Katani Road, Syokimau, Nairobi, Kenya","390.00","14.04","100.00","0.00","0.00","Ksh","Cash","28.01.2023 08:32","6.00","Finished"
"28.01.2023 07:23","Savannah Road, Nairobi","490.00","23.16","0.00","0.00","0.00","Ksh","Cash","28.01.2023 07:48","10.00","Finished"
"25.01.2023 21:03","Gitanga Road, Nairobi","600.00","28.40","0.00","0.00","0.00","Ksh","Cash","25.01.2023 21:40","14.00","Finished"
"25.01.2023 20:03","Kariobangi North, Nairobi","740.00","34.62","0.00","0.00","0.00","Ksh","Cash","25.01.2023 20:38","18.00","Finished"
"25.01.2023 19:17","Nairobi, Kenya","510.00","24.12","0.00","0.00","0.00","Ksh","Cash","25.01.2023 20:00","10.00","Finished"
"25.01.2023 18:51","Naivas Supermarket - Mountain Mall Branch, Nairobi, Kenya","260.00","12.45","0.00","0.00","0.00","Ksh","Cash","25.01.2023 19:14","4.00","Finished"
"25.01.2023 18:15","Umoja, Nairobi","320.00","14.87","0.00","0.00","0.00","Ksh","Cash","25.01.2023 18:34","5.00","Finished"
"25.01.2023 16:11","General Waruingi Street, Nairobi","660.00","31.38","0.00","0.00","0.00","Ksh","Cash","25.01.2023 16:57","16.00","Finished"
"25.01.2023 15:41","Gandhi Avenue, Nairobi","390.00","18.62","0.00","0.00","0.00","Ksh","Cash","25.01.2023 16:10","7.00","Finished"
"25.01.2023 15:31","DTB Centre, Mombasa Road","250.00","11.61","0.00","0.00","0.00","Ksh","Cash","25.01.2023 15:40","4.00","Finished"
"25.01.2023 14:58","Great Wall Apartments, Beijing Road, Mlolongo","240.00","11.05","0.00","0.00","0.00","Ksh","Cash","25.01.2023 15:14","4.00","Finished"
"25.01.2023 13:55","Eldoret Drive, Nairobi","670.00","31.84","0.00","0.00","0.00","Ksh","Cash","25.01.2023 14:43","18.00","Finished"
"25.01.2023 13:20","Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)","510.00","24.47","0.00","0.00","0.00","Ksh","Cash","25.01.2023 13:52","12.00","Finished"
"25.01.2023 12:19","Mombasa Road, Nairobi","290.00","14.03","0.00","0.00","0.00","Ksh","Cash","25.01.2023 12:32","6.00","Finished"
"25.01.2023 12:05","Grevillea Lane, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","25.01.2023 12:18","1.00","Finished"
"25.01.2023 11:32","Dunga Close, Nairobi","390.00","18.59","0.00","0.00","0.00","Ksh",Bolt Payment,"25.01.2023 11:50","9.00","Finished"
"25.01.2023 11:10","Kabiyeti Road, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","25.01.2023 11:22","2.00","Finished"
"25.01.2023 10:45","Bogani East Road, Nairobi","460.00","21.48","0.00","0.00","0.00","Ksh","Cash","25.01.2023 11:03","6.00","Finished"
"25.01.2023 09:56","Uchumi 145, Nairobi","420.00","20.22","0.00","0.00","0.00","Ksh","Cash","25.01.2023 10:20","10.00","Finished"
"25.01.2023 08:32","Vision Plaza Parking Lot, Mombasa Road, Nairobi","490.00","23.08","0.00","0.00","0.00","Ksh","Cash","25.01.2023 09:18","10.00","Finished"
"25.01.2023 08:00","Amalia Apartments - Syokimau, Chady Road, Nairobi, Kenya","450.00","20.96","0.00","0.00","0.00","Ksh","Cash","25.01.2023 08:27","9.00","Finished"
"25.01.2023 07:16","Green Court, Nairobi","640.00","30.35","0.00","0.00","0.00","Ksh","Cash","25.01.2023 07:53","13.00","Finished"
"24.01.2023 21:26","Kaunda Street 5, Nairobi","720.00","33.50","0.00","0.00","0.00","Ksh","Cash","24.01.2023 21:59","17.00","Finished"
"24.01.2023 21:00","Wood Avenue, Nairobi","210.00","10.00","0.00","0.00","0.00","Ksh","Cash","24.01.2023 21:11","2.00","Finished"
"24.01.2023 20:13","Silver Harbor apartments, Nairobi","340.00","16.29","0.00","0.00","0.00","Ksh","Cash","24.01.2023 20:37","6.00","Finished"
"24.01.2023 19:45","Malo malo Restaurant & Sports Lounge, Nairobi, Kenya","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","24.01.2023 19:55","2.00","Finished"
"24.01.2023 19:25","Margaret Wambui Kenyatta Road, Nairobi","210.00","10.14","0.00","0.00","0.00","Ksh",Bolt Payment,"24.01.2023 19:41","3.00","Finished"
"24.01.2023 18:28","General Mathenge Road, Nairobi","440.00","21.11","0.00","0.00","0.00","Ksh","Cash","24.01.2023 19:00","8.00","Finished"
"24.01.2023 17:28","Muhoho Avenue 123, Nairobi","560.00","26.49","0.00","0.00","0.00","Ksh","Cash","24.01.2023 18:27","8.00","Finished"
"24.01.2023 16:50","Muhoho Avenue, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","24.01.2023 17:06","2.00","Finished"
"24.01.2023 16:32","Butere Road, Nairobi","200.00","9.37","0.00","0.00","0.00","Ksh","Cash","24.01.2023 16:48","3.00","Finished"
"24.01.2023 15:27","MP Shah Hospital, Nairobi","380.00","18.06","0.00","0.00","0.00","Ksh","Cash","24.01.2023 16:16","7.00","Finished"
"24.01.2023 14:52","Kiambu Road Ciata Mall, Nairobi","410.00","19.26","0.00","0.00","0.00","Ksh","Cash","24.01.2023 15:17","9.00","Finished"
"24.01.2023 13:46","Muthithi Road 65, Nairobi","390.00","18.40","0.00","0.00","0.00","Ksh","Cash","24.01.2023 14:07","9.00","Finished"
"24.01.2023 12:58","Elgon Road, Nairobi","380.00","17.82","0.00","0.00","0.00","Ksh","Cash","24.01.2023 13:27","7.00","Finished"
"24.01.2023 12:14","Banda Street JKUAT Towers, Nairobi","230.00","10.68","0.00","0.00","0.00","Ksh","Cash","24.01.2023 12:31","3.00","Finished"
"24.01.2023 11:40","Mwingi Road, Nairobi","320.00","15.25","0.00","0.00","0.00","Ksh","Cash","24.01.2023 12:11","5.00","Finished"
"24.01.2023 11:14","Gitanga Road, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","24.01.2023 11:31","2.00","Finished"
"24.01.2023 10:17","Ruaka, Kenya","630.00","29.89","0.00","0.00","0.00","Ksh","Cash","24.01.2023 10:50","15.00","Finished"
"24.01.2023 07:45","Nyasi Lane, Nairobi","550.00","26.04","0.00","0.00","0.00","Ksh","Cash","24.01.2023 08:36","11.00","Finished"
"24.01.2023 07:03","Nairobi, Kenya","530.00","25.17","0.00","0.00","0.00","Ksh","Cash","24.01.2023 07:43","6.00","Finished"
